"id";"code";"name";"description";"is_system";"is_active";"search_index";"parent_id"
"1";"1";"Books";"Books";"0";"1";"books";"0"
"2";"2";"Video Games";"Video Games";"0";"1";"video games";"0"
"3";"3";"Beauty";"Beauty";"0";"1";"beauty";"0"
"4";"4";"Furniture";"Furniture";"0";"1";"furniture";"0"
"5";"5";"Watches";"Watches";"0";"1";"watches";"0"
"6";"6";"Health & Personal Care";"Health & Personal Care";"0";"1";"health personal care";"0"
"7";"7";"Toys & Games";"Toys & Games";"0";"1";"toys games";"0"
"8";"8";"Software";"Software";"0";"1";"software";"0"
"9";"9";"Jewellery";"Jewellery";"0";"1";"jewellery";"0"
"10";"10";"PlayStation 4";"PlayStation 4";"0";"1";"playstation 4";"2"
"11";"11";"Computers & Accessories";"Computers & Accessories";"0";"1";"computers accessories";"0"
"12";"12";"Music";"Music";"0";"1";"music";"0"
"13";"13";"Electronics";"Electronics";"0";"1";"electronics";"0"
"14";"14";"Movies & TV Shows";"Movies & TV Shows";"0";"1";"movies tv shows";"0"
"15";"15";"Movies";"Movies";"0";"1";"movies";"14"
"16";"16";"Accessories";"Accessories";"0";"1";"accessories";"13"
"17";"17";"Sports, Fitness & Outdoors";"Sports, Fitness & Outdoors";"0";"1";"sports fitness outdoors";"0"
"18";"18";"Luggage & Bags";"Luggage & Bags";"0";"1";"luggage bags";"0"
"19";"19";"Games";"Games";"0";"1";"games";"10"
"20";"20";"Action & Adventure";"Action & Adventure";"0";"1";"action adventure";"1"
"21";"21";"Women";"Women";"0";"1";"women";"9"
"22";"22";"Accounting & Finance";"Accounting & Finance";"0";"1";"accounting finance";"8"
"23";"23";"Accessories";"Accessories";"0";"1";"accessories";"5"
"24";"24";"Bath & Shower";"Bath & Shower";"0";"1";"bath shower";"6"
"25";"25";"Business Accounting";"Business Accounting";"0";"1";"business accounting";"22"
"26";"26";"Bedroom Furniture";"Bedroom Furniture";"0";"1";"bedroom furniture";"4"
"27";"27";"Personal Finance";"Personal Finance";"0";"1";"personal finance";"22"
"28";"28";"Action & Toy Figures";"Action & Toy Figures";"0";"1";"action toy figures";"7"
"29";"29";"Shoes & Handbags";"Shoes & Handbags";"0";"1";"shoes h bags";"0"
"30";"30";"Kindle Store";"Kindle Store";"0";"1";"kindle store";"0"
"31";"31";"Accessories";"Accessories";"0";"1";"accessories";"28"
"32";"32";"Shoes";"Shoes";"0";"1";"shoes";"29"
"33";"33";"Baby";"Baby";"0";"1";"baby";"0"
"34";"34";"Clothing & Accessories";"Clothing & Accessories";"0";"1";"clothing accessories";"0"
"35";"35";"Women's Shoes";"Women's Shoes";"0";"1";"women s shoes";"32"
"36";"36";"Bendables";"Bendables";"0";"1";"bendables";"28"
"37";"37";"Kindle eBooks";"Kindle eBooks";"0";"1";"kindle ebooks";"30"
"38";"38";"Bedroom Wardrobes";"Bedroom Wardrobes";"0";"1";"bedroom wardrobes";"26"
"39";"39";"Beds, Frames & Bases";"Beds, Frames & Bases";"0";"1";"beds frames bases";"26"
"40";"40";"Antivirus & Security";"Antivirus & Security";"0";"1";"antivirus security";"8"
"41";"41";"Bath Additives";"Bath Additives";"0";"1";"bath additives";"24"
"42";"42";"Antivirus";"Antivirus";"0";"1";"antivirus";"40"
"43";"43";"Watch Boxes";"Watch Boxes";"0";"1";"watch boxes";"23"
"44";"44";"Watchbands";"Watchbands";"0";"1";"watchb s";"23"
"45";"45";"Earrings";"Earrings";"0";"1";"earrings";"21"
"46";"46";"Accessories";"Accessories";"0";"1";"accessories";"17"
"47";"47";"Bags & Backpacks";"Bags & Backpacks";"0";"1";"bags backpacks";"18"
"48";"48";"Arts, Film & Photography";"Arts, Film & Photography";"0";"1";"arts film photography";"1"
"49";"49";"Sports Sunglasses";"Sports Sunglasses";"0";"1";"sports sunglasses";"46"
"50";"50";"Consoles";"Consoles";"0";"1";"consoles";"10"
"51";"51";"Blank Media";"Blank Media";"0";"1";"blank media";"16"
"52";"52";"Accessories";"Accessories";"0";"1";"accessories";"10"
"53";"53";"Office Products";"Office Products";"0";"1";"office products";"0"
"54";"54";"Bath & Body";"Bath & Body";"0";"1";"bath body";"3"
"55";"55";"BD-R";"BD-R";"0";"1";"bd-r";"51"
"56";"56";"Batteries & Chargers";"Batteries & Chargers";"0";"1";"batteries chargers";"52"
"57";"57";"TV Shows";"TV Shows";"0";"1";"tv shows";"14"
"58";"58";"Cables & Adapters";"Cables & Adapters";"0";"1";"cables adapters";"52"
"59";"59";"Accessories & Peripherals";"Accessories & Peripherals";"0";"1";"accessories peripherals";"11"
"60";"60";"Alternative & Indie";"Alternative & Indie";"0";"1";"alternative indie";"12"
